song_key,title,performer,primary_artist,is_collaboration,is_holiday_song,debut_date,debut_year,debut_decade,era,debut_rank,peak_position,weeks_to_peak,debut_is_peak,total_weeks_on_chart,weeks_in_top10,weeks_at_number_one,last_chart_date,chart_span_weeks,reached_top40,lifecycle_segment,had_reentry
poor little fool :: ricky nelson,Poor Little Fool,Ricky Nelson,Ricky Nelson,0,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),1,1,1,1,11,6,2,1958-10-13,11,1,"Spike (fast peak, short life)",0
little star :: the elegants,Little Star,The Elegants,The Elegants,0,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),18,1,4,0,17,9,1,1958-11-24,17,1,"Grinder (slow climb, short life)",0
nel blu dipinto di blu (volaré) :: domenico modugno,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,Domenico Modugno,0,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),54,1,3,0,16,10,5,1958-11-17,16,1,"Grinder (slow climb, short life)",0
patricia :: perez prado and his orchestra,Patricia,Perez Prado And His Orchestra,Perez Prado And His Orchestra,0,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),2,2,1,1,14,6,0,1958-11-03,14,1,"Spike (fast peak, short life)",0
rock-in robin :: bobby day,Rock-in Robin,Bobby Day,Bobby Day,0,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),35,2,11,0,21,10,0,1958-12-22,21,1,"Slow Burn (built over time, long life)",0
bird dog :: the everly brothers,Bird Dog,The Everly Brothers,The Everly Brothers,0,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),92,2,7,0,18,11,0,1958-12-01,18,1,"Grinder (slow climb, short life)",0
splish splash :: bobby darin,Splish Splash,Bobby Darin,Bobby Darin,0,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),3,3,1,1,8,3,0,1958-09-22,8,1,"Spike (fast peak, short life)",0
my true love :: jack scott,My True Love,Jack Scott,Jack Scott,0,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),8,3,3,0,14,6,0,1958-11-03,14,1,"Grinder (slow climb, short life)",0
hard headed woman :: elvis presley with the jordanaires,Hard Headed Woman,Elvis Presley With The Jordanaires,Elvis Presley,1,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),4,4,1,1,8,2,0,1958-09-22,8,1,"Spike (fast peak, short life)",0
just a dream :: jimmy clanton and his rockets,Just A Dream,Jimmy Clanton And His Rockets,Jimmy Clanton And His Rockets,0,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),12,4,4,0,15,8,0,1958-11-10,15,1,"Grinder (slow climb, short life)",0
when :: kalin twins,When,Kalin Twins,Kalin Twins,0,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),5,5,1,1,9,5,0,1958-09-29,9,1,"Spike (fast peak, short life)",0
rebel-'rouser :: duane eddy his twangy guitar and the rebels,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,Duane Eddy His Twangy Guitar And The Rebels,0,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),6,6,1,1,8,3,0,1958-09-22,8,1,"Spike (fast peak, short life)",0
chantilly lace :: big bopper,Chantilly Lace,Big Bopper,Big Bopper,0,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),31,6,14,0,25,5,0,1959-01-19,25,1,"Slow Burn (built over time, long life)",0
yakety yak :: the coasters,Yakety Yak,The Coasters,The Coasters,0,0,1958-08-04,1958,1950s,1. Physical / Airplay (pre-1991),7,7,1,1,7,1,0,1958-09-15,7,1,"Spike (fast peak, short life)",0
