chart_year,chart_weeks_in_year,cohort_censored,chart_slots,unique_songs,new_song_debuts,top40_debut_cohort,kpi_debut_peak_rate_pct,kpi_chart_half_life_weeks,kpi_durability_rate_pct,kpi_catalog_crowding_pct,kpi_breakthrough_artists,avg_weeks_on_chart_per_slot,pct_slots_20wk_plus,pct_slots_52wk_plus,distinct_number_ones,pct_slots_collaboration,pct_slots_holiday
1958,22,0,2200,352,352,160,16.9,13.0,2.5,0.0,36,5.5,0.1,0.0,8,2.3,0.6
1959,52,0,5200,663,573,253,0.0,14,2.0,0.0,59,6.7,0.6,0.0,16,4.1,0.1
1960,52,0,5200,683,590,269,0.0,13,1.9,0.3,47,6.6,0.8,0.0,19,4.5,0.5
1961,52,0,5200,783,685,303,0.0,11,0.7,1.0,54,5.8,0.4,0.0,22,2.8,0.5
1962,52,0,5200,768,668,285,0.0,11,1.1,1.6,53,6.0,0.7,0.0,21,2.1,0.8
1963,52,0,5200,754,662,289,0.0,11,0.3,0.0,63,5.5,0.1,0.0,21,2.1,0.2
1964,52,0,5200,811,717,300,0.0,10.0,0.3,0.3,53,5.2,0.1,0.0,23,3.2,0.0
1965,52,0,5200,800,706,326,0.0,10.0,0.3,0.2,52,5.1,0.1,0.0,27,2.6,0.0
1966,53,0,5300,832,740,327,0.0,10,0.0,0.5,48,5.1,0.3,0.0,27,2.4,0.0
1967,52,0,5200,827,736,328,0.0,10.0,0.0,0.2,46,5.0,0.0,0.0,19,2.3,0.2
1968,52,0,5200,772,679,276,0.0,11.0,0.4,0.6,47,5.4,0.2,0.0,16,2.6,0.2
1969,52,0,5200,762,667,279,0.0,11,0.0,0.9,36,5.6,0.3,0.0,17,2.1,0.1
1970,52,0,5200,728,633,244,0.0,13.0,0.4,0.5,42,5.9,0.2,0.0,21,2.0,0.2
1971,52,0,5200,703,612,250,0.0,12.0,0.4,0.6,51,6.1,0.6,0.0,19,2.3,0.0
1972,53,0,5300,680,583,256,0.0,12.0,0.0,0.7,51,6.1,0.2,0.0,22,3.1,0.0
1973,52,0,5200,603,506,235,0.0,14,0.9,0.6,40,6.9,0.8,0.0,27,1.5,0.1
1974,52,0,5200,589,494,251,0.0,15,0.8,0.7,46,7.2,1.0,0.0,36,2.4,0.0
1975,52,0,5200,648,556,258,0.0,14.0,1.9,0.6,50,6.8,0.7,0.0,35,1.2,0.1
1976,52,0,5200,620,524,222,0.0,16.0,4.1,1.5,47,7.5,2.8,0.0,26,1.5,0.0
1977,53,0,5300,572,468,219,0.5,17,8.7,0.9,41,8.1,3.5,0.0,29,0.8,0.0
1978,52,0,5200,535,441,232,0.0,16.0,2.6,0.6,32,8.2,4.2,0.0,20,2.0,0.3
1979,52,0,5200,574,483,236,0.0,15.0,2.1,0.0,25,7.5,1.8,0.0,24,0.9,0.1
1980,52,0,5200,547,450,221,0.0,16,5.4,0.2,27,7.9,2.8,0.0,17,1.4,0.4
1981,52,0,5200,513,410,208,0.0,17.0,5.3,0.4,21,8.6,4.4,0.0,17,2.8,0.1
1982,52,0,5200,530,429,230,0.0,16.0,7.0,0.5,35,8.1,3.7,0.0,16,1.9,0.0
1983,53,0,5300,544,440,219,0.0,16,4.1,0.4,34,8.1,3.5,0.0,17,2.0,0.3
1984,52,0,5200,527,431,222,0.0,17.0,4.5,0.6,37,8.2,3.5,0.0,20,2.0,0.2
1985,52,0,5200,501,404,214,0.0,17.5,1.9,0.2,36,8.4,2.7,0.0,27,2.6,0.1
1986,52,0,5200,501,396,219,0.0,17,2.7,0.8,45,8.5,2.9,0.0,31,2.4,0.0
